Vrsta_studija,Studij,Godina_studija,Semestar,ISVU_sifra,Naziv,Nastavnici,ECTS,Obavezan
preddiplomski sveučilišni,Poslovni sustavi,2,4,61810,Upravljanje znanjem,Lovrenčić Sandra Maleković Mirko Sekovanić Vlatka,4,NE
preddiplomski sveučilišni,Poslovni sustavi,2,4,61811,Zemljopisni informacijski sustavi,Strahonja Vjeran Mijač Marko Tomaš Boris Husak Mirko,4,NE
preddiplomski sveučilišni,Informacijski sustavi,2,4,61780,Baze podataka 1,Rabuzin Kornelije Križanić Snježana Okreša Đurić Bogdan,6,DA
preddiplomski sveučilišni,Informacijski sustavi,2,4,61781,Mreže računala 1,Ivković Nikola Magdalenić Ivan Peras Marko Tomičić Igor Popović Elvis,6,DA
preddiplomski sveučilišni,Informacijski sustavi,2,4,61793,Odabrana poglavlja matematike,Divjak Blaženka Maretić Marcel Horvat Damir Žugec Bojan,7,NE
preddiplomski sveučilišni,Informacijski sustavi,2,4,61783,Operacijski sustavi 1,Magdalenić Ivan Golub Marin Ivković Nikola Milić Luka Popović Elvis,5,DA
preddiplomski sveučilišni,Informacijski sustavi,2,4,61795,Organizacijsko projektiranje,Fabac Robert,4,NE
preddiplomski sveučilišni,Informacijski sustavi,2,4,61798,Poslovni engleski jezik 2,Kovačić Andreja,3,NE
preddiplomski sveučilišni,Informacijski sustavi,2,4,61803,Poslovni njemački jezik 2,Bunić Branko,3,NE
preddiplomski sveučilišni,Informacijski sustavi,2,4,61808,Poslovni procesi u organizaciji,Pihir Igor Tomičić Furjan Martina Hrustek Larisa Kutnjak Ana Tomičić-Pupek Katarina,5,NE
preddiplomski sveučilišni,Informacijski sustavi,2,4,95810,Tjelesna i zdravstvena kultura 4,Vučić Damir,0,DA
preddiplomski sveučilišni,Informacijski sustavi,2,4,61810,Upravljanje znanjem,Lovrenčić Sandra Maleković Mirko Sekovanić Vlatka,4,NE
preddiplomski sveučilišni,Informacijski sustavi,2,4,61811,Zemljopisni informacijski sustavi,Strahonja Vjeran Mijač Marko Tomaš Boris Husak Mirko,4,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72614,Algoritmi,Lovrenčić Alen Konecki Mladen,6,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72610,Baze podataka 2,Rabuzin Kornelije Križanić Snježana Hlapčić Marko Tomaš Boris,6,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72615,Engleski jezik za menadžere,Fara Višnja,3,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72616,Logistika,Dvorski Stjepan Kovšca Vladimir Dvorski Lacković Ivana Lacković Vincek Zrinka Novak Ema,4,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72617,Mreže računala 2,Ivković Nikola Magdalenić IvanTomičić Igor Popović Elvis,6,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72618,Multimedijski sustavi,Kliček Božidar Plantak Vukovac Dijana,4,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72619,Njemački jezik za menadžere,,3,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72620,Odabrane teme iz biometrije,Bača Miroslav Grd Petra,4,NE
preddiplomski sveučilišni,Poslovni sustavi,3,5,72621,Otkrivanje znanja u podacima,Kliček Božidar Oreški Dijana,4,NE
